title,datetime,location_name,address,description,category,source_url,source_site
Willimantic Elks Lodge's 9th Annual Dirty Deeds Charity Concert,2025-11-22T18:30,Willimantic Elks Lodge 1311,"198 Pleasant Street, Willimantic, CT 06226","For Those About to Rock, We SALUTE You!",Charity & Causes,https://www.eventbrite.com/e/willimantic-elks-lodges-9th-annual-dirty-deeds-charity-concert-tickets-1553406975079,Eventbrite
What?! Comedy Night @ Elbow Room,2025-11-14T20:00,The Elbow Room,"986 Farmington Avenue, West Hartford, CT 06107","Get ready to laugh until your stomach hurts at the hilarious Stand Up Comedy Show, where the jokes are as good as the drinks!",Performing & Visual Arts,https://www.eventbrite.com/e/what-comedy-night-elbow-room-tickets-1840069610739,Eventbrite
Hartford Jazz Society presents Celebrate the Holidays Fundraiser,2025-12-06T19:00,Artists Collective Inc,"1200 Albany Avenue, Hartford, CT 06112","An unforgettable evening of jazz, community, and celebration of the Hartford Jazz Society's 2nd ""Celebrating Jazz & Community"" event .",Performing & Visual Arts,https://www.eventbrite.com/e/hartford-jazz-society-presents-celebrate-the-holidays-fundraiser-tickets-1750643735539,Eventbrite
Women and the Art of Tiffany Studios: A Garden Landscape Window,2025-11-23T14:00,Lockwood-Mathews Mansion Museum,"295 West Avenue, Norwalk, CT 06850",The Lockwood-Mathews Mansion Museum will present a talk by renowned curator Alice Cooney Frelinghuysen. Light refreshments will be offered.,Performing & Visual Arts,https://www.eventbrite.com/e/women-and-the-art-of-tiffany-studios-a-garden-landscape-window-tickets-1731008636429,Eventbrite
Children's Festival of Art,2025-11-14T16:30,Imagine Nation A Museum Early Learning Center,"1 Pleasant Street, Bristol, CT 06010",Come and fuel your child's creative  spirit!,Family & Education,https://www.eventbrite.com/e/childrens-festival-of-art-tickets-1656277012129,Eventbrite
Fairfield High School Class of 2000 - 25 Year Reunion,2025-11-22T19:00,Boca Grille and Raw Bar,"2425 Morehouse Highway, Fairfield, CT 06824","Calling all Fairfield High School Class of 2000 grads - let's celebrate 25 years with a night full of memories, laughter, and catching up!",School Activities,https://www.eventbrite.com/e/fairfield-high-school-class-of-2000-25-year-reunion-tickets-1608699265809,Eventbrite
November Book Club: Broken Country by  Clare Leslie Hall,2025-11-13T19:30,Cinema Lab The Playhouse,"93 Elm Street, New Canaan, CT 06840","Join us for our November Book Club where we'll be discussing ""Broken Country"" by Clare Leslie Hall.",Hobbies & Special Interest,https://www.eventbrite.com/e/november-book-club-broken-country-by-clare-leslie-hall-tickets-1790660346299,Eventbrite
Fairfield Center Stage presents  ANNIE -- Sat Nov 29 @ 2pm,2025-11-29T14:00,First Church Congregational,"148 Beach Road, Fairfield, CT 06824","Local community theater group Fairfield Center Stage presents the  classic musical ANNIE, featuring a cast of adults & children, Nov 14-30",Performing & Visual Arts,https://www.eventbrite.com/e/fairfield-center-stage-presents-annie-sat-nov-29-2pm-tickets-1740074562859,Eventbrite
Sips & Sparks 2nd Anniversary Singles Mixer | Ages 21+ at Urban Lodge,2025-11-15T19:00,Urban Lodge Brewing - Pratt Street,"88 Pratt Street, Hartford, CT 06103","Celebrate 2 years of Sips & Sparks! A fun singles mixer with drinks, mingling & sparks at Urban Lodge Brewing in Hartford, CT",Community & Culture,https://www.eventbrite.com/e/sips-sparks-2nd-anniversary-singles-mixer-ages-21-at-urban-lodge-tickets-1721737225389,Eventbrite
Sponge,2025-12-12T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with Soft Spot, Kimono Draggin'",Music,https://www.eventbrite.com/e/sponge-tickets-1858602282459,Eventbrite
Jimmie's Chicken Shack,2025-12-05T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with Megaboner, The Sparkle & Fade",Music,https://www.eventbrite.com/e/jimmies-chicken-shack-tickets-1564015926739,Eventbrite
Fairfield Center Stage presents  ANNIE -- Fri Nov 21 @ 7:30pm,2025-11-21T19:30,First Church Congregational,"148 Beach Road, Fairfield, CT 06824","Local community theater group Fairfield Center Stage presents the  classic musical ANNIE, featuring a cast of adults & children, Nov 14-30",Performing & Visual Arts,https://www.eventbrite.com/e/fairfield-center-stage-presents-annie-fri-nov-21-730pm-tickets-1740272504909,Eventbrite
Sugar at the Velvet Mill! 11/22/25,2025-11-22T18:30,22 Bayview Ave,"22 Bayview Avenue, Stonington, CT 06378","Get ready for an unforgettable night as Sugar, the region’s premier band, takes the stage at the Velvet Mill in the Stonington Borough!",Food & Drink,https://www.eventbrite.com/e/sugar-at-the-velvet-mill-112225-tickets-1964567576506,Eventbrite
The Dream Syndicate,2025-12-09T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514",An Evening with,Music,https://www.eventbrite.com/e/the-dream-syndicate-tickets-1411151444959,Eventbrite
New Haven IRL: Social Salon,2025-11-13T18:30,Armada Brewing,"190 River Street, New Haven, CT 06513",Real talk in a world that forgot how. A night of prompted small-group conversations that make meeting people easy and fun.,Community & Culture,https://www.eventbrite.com/e/new-haven-irl-social-salon-tickets-1871428907239,Eventbrite
Sound Meditation Concert at Patriots Park,2025-11-14T19:00,Patriots Park,"172 Lake Street, Coventry, CT 06238",The Conduit performs an indoor sound meditation at The Lodge overlooking Coventry Lake (2nd Fridays),Health & Wellness,https://www.eventbrite.com/e/sound-meditation-concert-at-patriots-park-tickets-1743077434529,Eventbrite
Del Water Gap: Chasing the Chimera World Tour,2026-01-26T20:00,College Street Music Hall,"238 College Street, New Haven, CT 06510",with Hannah Jadagu,Music,https://www.eventbrite.com/e/del-water-gap-chasing-the-chimera-world-tour-tickets-1796413313579,Eventbrite
Shwayze - The Wasted Sunset Tour,2025-11-19T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with The Quasi Kings, Twin Fin",Music,https://www.eventbrite.com/e/shwayze-the-wasted-sunset-tour-tickets-1559891991939,Eventbrite
Fairfield Center Stage presents  ANNIE -- Fri Nov 14 @ 7:30pm (Opening),2025-11-14T19:30,First Church Congregational,"148 Beach Road, Fairfield, CT 06824","Local community theater group Fairfield Center Stage presents the  classic musical ANNIE, featuring a cast of adults & children, Nov 14-30",Performing & Visual Arts,https://www.eventbrite.com/e/fairfield-center-stage-presents-annie-fri-nov-14-730pm-opening-tickets-1735881210429,Eventbrite
Percussion Ensemble,2025-11-16T13:00,Veronica Hagman Concert Hall,"43 Lake Avenue Extension, Danbury, CT 06810",Percussion Ensemble,Music,https://www.eventbrite.com/e/percussion-ensemble-tickets-1556778509429,Eventbrite
Align & Renew,2025-11-13T18:00,Designs By Lee Inc,"129 Interlaken Road, Stamford, CT 06903","Realign your body, renew your spirit, and connect with an amazing community of women. An evening of wellness awaits!",Health & Wellness,https://www.eventbrite.com/e/align-renew-tickets-1865995054439,Eventbrite
Algernon Cadwallader,2025-12-14T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with Gladie, Sun Organ",Music,https://www.eventbrite.com/e/algernon-cadwallader-tickets-1557530629039,Eventbrite
"Spotlight Tour | The Overland Method: ICFs, SIP Roofs, & Solar Panels",2025-11-13T16:00,Leigh Overland Architect LLC,"110 Shoreham Terrace, Fairfield, CT 06824","Join Leigh Overland, of Overland Architects, and BuildGreenCT this November for an exclusive tour of the Overland Residence.",Business & Professional,https://www.eventbrite.com/e/spotlight-tour-the-overland-method-icfs-sip-roofs-solar-panels-tickets-1781425213769,Eventbrite
2 Year Anniversary: Bodega Ball,2025-11-15T19:00,Marvin Espy Gallery of Fine Art,"308 State Street, New London, CT 06320","You are invited to an evening of art, piano, poetry, and celebration as we assist The Bodega Food Bank of New London, CT.",Performing & Visual Arts,https://www.eventbrite.com/e/2-year-anniversary-bodega-ball-tickets-1902294286419,Eventbrite
SEEDZ TO GROW,2025-11-15T17:30,254 Trumbull St,"254 Trumbull Street, Hartford, CT 06103",Antzinyopants (Antwaun K Wright) Presents “SEEDZ TO GROW” : all flowers that bloom has a seed. The growing pains of self love,Performing & Visual Arts,https://www.eventbrite.com/e/seedz-to-grow-tickets-1741048596219,Eventbrite
CE CLASS - The Complete Agent - What They Did Not Teach You In RE School,2025-11-18T09:00,Hilliard Mills,"640-642 Hilliard Street, Manchester, CT 06042",Learn all about The Complete Agent - What They Did Not Teach You In Real Estate School w/ Tammy Heeber on 11/11 - don't miss it!,Business & Professional,https://www.eventbrite.com/e/ce-class-the-complete-agent-what-they-did-not-teach-you-in-re-school-tickets-1321631247639,Eventbrite
Cannons Ball 2025,2025-11-25T18:30,Great Neck Country Club,"28 Lamphere Road, Waterford, CT 06385","Ct Cannons Awards Dinner with amazing raffles, guest speaker, dinner buffet and music by Alex Walker.",Sports & Fitness,https://www.eventbrite.com/e/cannons-ball-2025-tickets-1937601862329,Eventbrite
Chell's Charcuterie Holiday Wreath Workshop  at Westfarms,2025-11-16T13:00,Westfarms,"1500 New Britain Avenue, West Hartford, CT 06110",Welcome to Chell's Charcuterie Holiday Wreath  Workshop at Westfarms. Upper level of the Nordstrom wing between The North Face and J.Crew.,Food & Drink,https://www.eventbrite.com/e/chells-charcuterie-holiday-wreath-workshop-at-westfarms-tickets-1660026406669,Eventbrite
Dockside Brewery Sip & Pour Candle Making,2025-11-18T18:00,Dockside Brewery,"40 Bridgeport Avenue, Milford, CT 06460",Home for The Holidays,Home & Lifestyle,https://www.eventbrite.com/e/dockside-brewery-sip-pour-candle-making-tickets-1447699751929,Eventbrite
Toys Fore Joy 2025,2025-11-15T09:30,The Golf Club at Oxford Greens,"99 Country Club Drive ##1188, Oxford, CT 06478","Golf, food, drinks, and prizes all to benefit local children. Join in on the fun!",Sports & Fitness,https://www.eventbrite.com/e/toys-fore-joy-2025-tickets-1758563413509,Eventbrite
Northwest Coast Cuisine Lunch by Advanced Food Preparation,2025-11-18T12:00,Culinary Arts Center Dining Room L294,"Great Path, Manchester, CT 06040",Get ready to savor the flavors of the Northwest Coast with a delicious lunch prepared by our talented Advanced Food Preparation students!,Food & Drink,https://www.eventbrite.com/e/northwest-coast-cuisine-lunch-by-advanced-food-preparation-tickets-1556851397439,Eventbrite
Fairfield Center Stage presents  ANNIE -- Sat Nov 22 @ 7pm,2025-11-22T19:00,First Church Congregational,"148 Beach Road, Fairfield, CT 06824","Local community theater group Fairfield Center Stage presents the  classic musical ANNIE, featuring a cast of adults & children, Nov 14-30",Performing & Visual Arts,https://www.eventbrite.com/e/fairfield-center-stage-presents-annie-sat-nov-22-7pm-tickets-1739873310909,Eventbrite
Game Night: NEJA vs. Alumni & Community Social,2025-11-29T18:30,New England Jewish Academy,"300 Bloomfield Avenue, West Hartford, CT 06117",Come cheer on NEJA and our Alumni for a night of friendly competition and community fun!,Community & Culture,https://www.eventbrite.com/e/game-night-neja-vs-alumni-community-social-registration-1852447894519,Eventbrite
Ellington High School Class of 2010 Reunion,2025-11-22T13:00,Elicit Brewing Co - Manchester,"165 Adams St., Manchester, CT 06042",Join us for the EHS Class of 2010 15-year reunion!,School Activities,https://www.eventbrite.com/e/ellington-high-school-class-of-2010-reunion-tickets-1628917529179,Eventbrite
Side by Side: The Nutcracker Swings!,2025-12-05T19:30,Woolsey Hall,"500 College Street, New Haven, CT 06511","The Yale Concert Band, Yale's premier wind ensemble and the Yale Jazz Ensembles Big Band perform.",Performing & Visual Arts,https://www.eventbrite.com/e/side-by-side-the-nutcracker-swings-tickets-1747605066799,Eventbrite
Dolly Pawton Drag Bingo,2025-11-16T13:00,The Carousel Museum,"95 Riverside Avenue, Bristol, CT 06010","Get ready for a fabulous afternoon of fun at Dolly Pawton Drag Bingo, hosted by Summer Orlando, and benefitting Change a Life Dog Rescue",Charity & Causes,https://www.eventbrite.com/e/dolly-pawton-drag-bingo-tickets-1616625794269,Eventbrite
THE BLACKOUT X JUNE ARCHER'S CELEBRATION OF LIFE,2025-11-29T20:00,Hartford Marriott Downtown,"200 Columbus Boulevard, Hartford, CT 06103",THE BLACKOUT X JUNE ARCHER'S CELEBRATION of LIFE Come Together for An Epic Night of Celebration!,Community & Culture,https://www.eventbrite.com/e/the-blackout-x-june-archers-celebration-of-life-tickets-1869697859629,Eventbrite
Wreaths & Brews at Elicit Brewery,2025-11-20T18:00,Elicit Brewing Co - Danbury,"15 Backus Avenue, Danbury, CT 06810",Join us at Elicit Brewery for a fun evening of wreath-making and beer-drinking!,Food & Drink,https://www.eventbrite.com/e/wreaths-brews-at-elicit-brewery-tickets-1715890467579,Eventbrite
Homeward Bound: A Holiday Journey by Train,2025-12-07T19:00,Congregation B'nai Jacob,"75 Rimmon Road, Woodbridge, CT 06525","Join SOUND Affect for a festive musical journey filled with warmth, nostalgia, and the magic of coming home for the holidays.",Seasonal & Holiday,https://www.eventbrite.com/e/homeward-bound-a-holiday-journey-by-train-tickets-1870318526059,Eventbrite
2025 Governor's  Celebration,2025-12-04T17:30,University of Hartford,"200 Bloomfield Avenue, West Hartford, CT 06117",Guide Others Forward,Health & Wellness,https://www.eventbrite.com/e/2025-governors-celebration-tickets-1708513472789,Eventbrite
Sunday Morning,2025-11-26T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with Scooped Up, Goalkeeper, Dethwish",Music,https://www.eventbrite.com/e/sunday-morning-tickets-1583033619169,Eventbrite
Sean Nelson Jazz Orchestra: Harry James Tribute Featuring Joshua Kauffman,2025-11-19T19:30,The Side Door ,"85 Lyme St, Old Lyme, CT 06371",The Sean Nelson Jazz Orchestra returns to the Side Door as part of their monthly residency with guest trumpeter: Joshua Kauffman,Music,https://www.eventbrite.com/e/sean-nelson-jazz-orchestra-harry-james-tribute-featuring-joshua-kauffman-tickets-1749229114369,Eventbrite
EHHS / CIBA Class of 2015 10-Year Reunion,2025-11-28T18:00,Elicit Brewing Co - Manchester,"165 Adams Street, Manchester, CT 06042","Join us for our 10-Year High School Reunion! Food, drinks, memories & fun as we reconnect and celebrate our time together.",Family & Education,https://www.eventbrite.com/e/ehhs-ciba-class-of-2015-10-year-reunion-tickets-1770873984759,Eventbrite
WHS Class of 2010 Reunion,2025-11-29T19:00,Old Town Cafe,"187 Main Street, Wethersfield, CT 06109",Hey everyone! Join us for our 15 year high school reunion. Let's reminisce on the good days and have a great night. Hope to see you there!,Family & Education,https://www.eventbrite.com/e/whs-class-of-2010-reunion-tickets-1849307351069,Eventbrite
TRAGEDY: All Metal Tribute to the Bee Gees & Beyond,2025-11-15T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514",‎,Music,https://www.eventbrite.com/e/tragedy-all-metal-tribute-to-the-bee-gees-beyond-tickets-1835332883059,Eventbrite
Kennebec / Slow Meadow at Lyric Hall,2025-11-13T19:30,Lyric Hall Antiques & Conservation,"827 Whalley Avenue, New Haven, CT 06515","Lyric Hall brings you Kennebec & Lyric Hall Thursday, Nov. 13 in New Haven! Doors 7pm, Show 8:00pm, All Ages.",Performing & Visual Arts,https://www.eventbrite.com/e/kennebec-slow-meadow-at-lyric-hall-tickets-1809535502399,Eventbrite
Double Bill:  Rock Hearts & On The Trail,2025-11-22T20:00,Bijou Theatre,"275 Fairfield Ave, Bridgeport, CT 06604",Join us for an unforgettable night of New England's most celebrated Bluegrass bands!,Music,https://www.eventbrite.com/e/double-bill-rock-hearts-on-the-trail-tickets-1402239719749,Eventbrite
Celebrate Repeal Day with a Prohibition Style Cocktail Party,2025-12-05T19:00,"Madison Beach Hotel, Curio Collection by Hilton","94 West Wharf Road, Madison, CT 06443","Celebrate National Repeal Day in style at this epic Prohibition Era party! Sample 8 Prohibition-Era Cocktails, Live Band, Costume Contest!",Food & Drink,https://www.eventbrite.com/e/celebrate-repeal-day-with-a-prohibition-style-cocktail-party-tickets-1646174996729,Eventbrite
Connect With Your Loved Ones! Psychic Medium Patricia Griffin,2025-11-16T13:00,Bijou Theatre,"275 Fairfield Ave, Bridgeport, CT 06604","Patricia Griffin  is a natural-born evidential Medium . She reads with tremendous accuracy, integrity, humor, and love.",Religion & Spirituality,https://www.eventbrite.com/e/connect-with-your-loved-ones-psychic-medium-patricia-griffin-tickets-1424778082599,Eventbrite
CT Voices Presents: A Roadmap to Fully Funded Communities,2025-11-20T18:00,Cross Street AME Zion Church,"440 West Street, Middletown, CT 06457",Join us for a community conversation on how Connecticut can secure more funding for our children and families.,Charity & Causes,https://www.eventbrite.com/e/ct-voices-presents-a-roadmap-to-fully-funded-communities-tickets-1761442194019,Eventbrite
"Speed Dating Ages 40s-50s in Danbury, CT at Charter Oak Brewing",2025-11-13T19:00,Charter Oak Brewing and Taproom,"39B Shelter Rock Road, Danbury, CT 06810","Ready to meet local singles face-to-face? Join us for a fun, low-pressure evening of meaningful connections!",Community & Culture,https://www.eventbrite.com/e/speed-dating-ages-40s-50s-in-danbury-ct-at-charter-oak-brewing-tickets-1827269144199,Eventbrite
"HGF Pediatric Endocrine Education Day - Danbury, CT",2025-11-22T08:30,Best Western Danbury/Bethel - P.T. Barnum/Greenwood Room | Floor 1,"11 Stony Hill Rd, Bethel, CT 06801","HGF Pediatric Endocrine Education Day - Danbury, CT - will be held on November 22, 2025, from 8:30 AM to 12:00 PM.",Health & Wellness,https://www.eventbrite.com/e/hgf-pediatric-endocrine-education-day-danbury-ct-tickets-1730715359229,Eventbrite
Creative Playground Kids Con,2025-11-15T09:00,169 Henry St,"169 Henry Street, New Haven, CT 06511","Kids (ages 6-13) participate in hands-on fun to spark kids' creativity — Photography, Graphic Design, Videography, STEAM, AI, and more",Family & Education,https://www.eventbrite.com/e/creative-playground-kids-con-tickets-1804030346329,Eventbrite
Nick Saint: Private Elf - A Murder Mystery Dinner,2025-11-22T18:00,Twisted Vine Restaurant,"285 Main Street, Derby, CT 06418",Get ready for a night of suspense and intrigue at our  Nick Saint: Private Elf Murder Mystery Dinner - can you solve the crime?,Seasonal & Holiday,https://www.eventbrite.com/e/nick-saint-private-elf-a-murder-mystery-dinner-tickets-1606563196769,Eventbrite
Holiday Event Buffet Feast by Catering Management,2025-12-03T18:30,Culinary Arts Center Dining Room L294,"Great Path, Manchester, CT 06040",Join us for the Holiday Buffet.  A must attend dinner event to kick off your holiday season! Eat here for holiday cheer!,Food & Drink,https://www.eventbrite.com/e/holiday-event-buffet-feast-by-catering-management-tickets-1557041716689,Eventbrite
Spencer & Lynn Presents: The Beaujolais Nouveau Day Party Vol. 2!,2025-11-20T18:00,Spencer & Lynn Wine and Spirit Merchants - Downtown Mystic,"17 West Main Street, Groton, CT 06355",Celebrate Beaujolais Nouveau Day—plus Villages and Cru—at our walk-around tasting with pours from of favorite importer friends!,Food & Drink,https://www.eventbrite.com/e/spencer-lynn-presents-the-beaujolais-nouveau-day-party-vol-2-tickets-1942602298769,Eventbrite
"Coffee Date Speed Dating Ages 40s-50s in Hartford, CT at Cafe Amore",2025-11-14T19:00,Cafe Amore,"385 Main Street, Hartford, CT 06106","No swipes, just smiles! Sip coffee & spark connections with singles. Your next smile awaits! ☕✨",Community & Culture,https://www.eventbrite.com/e/coffee-date-speed-dating-ages-40s-50s-in-hartford-ct-at-cafe-amore-tickets-1744551042129,Eventbrite
Christian Sands Trio,2025-12-06T20:00,The Side Door ,"85 Lyme St, Old Lyme, CT 06371",Join us for a special night of jazz with Pianist Christian Sands and his Trio!,Music,https://www.eventbrite.com/e/christian-sands-trio-tickets-1854454837339,Eventbrite
FREESTYLE ICONS SERIES,2025-11-29T20:00,Longley's Restaurant,"249 West Main Street #Unit 8, Branford, CT 06405",Don’t miss out!! This show will be epic! Doors open at 8pm!! Show starts at 10pm!!,Performing & Visual Arts,https://www.eventbrite.com/e/freestyle-icons-series-tickets-1766532238479,Eventbrite
Paula Poundstone,2025-12-12T20:00,District Music Hall,"71 Wall Street, Norwalk, CT 06850",‎,"Film, Media & Entertainment",https://www.eventbrite.com/e/paula-poundstone-tickets-1478497910049,Eventbrite
"Speed Dating Ages 35-45 in Plainville, CT  at Transcend Beer Crafters",2025-11-17T19:00,Transcend Beer Crafters,"45 Northwest Drive #Unit A, Plainville, CT 06062","Ready to meet local singles face-to-face? Join us for a fun, low-pressure evening of meaningful connections!",Community & Culture,https://www.eventbrite.com/e/speed-dating-ages-35-45-in-plainville-ct-at-transcend-beer-crafters-tickets-1805618907759,Eventbrite
Machinal,2025-11-21T20:00,MainStage Theatre - Visual and Performing Arts Center at WCSU,"43 Lake Avenue Extension, Danbury, CT 06810",WestRep Stage at WCSU presents this performance on 11/21/25 at 8:00 PM.,Performing & Visual Arts,https://www.eventbrite.com/e/machinal-tickets-1557392475819,Eventbrite
Gilmore Girls Trivia Night,2025-11-19T18:30,Strange Brew Pub,"86 Water Street, Norwich, CT 06360","Gilmore Girls Trivia Night at Strange Brew Pub in Norwich, CT on Wednesday 11.19.25!",Other,https://www.eventbrite.com/e/gilmore-girls-trivia-night-tickets-1775475407739,Eventbrite
"Snow Moon Festival - Stonington, CT",2025-12-27T17:00,Beer'd Brewing Co. - The Mill,"22 Bayview Avenue, Stonington, CT 06378","Snow Moon Festival - A musical and art festival in Stonington, CT December 27th, 2025.",Music,https://www.eventbrite.com/e/snow-moon-festival-stonington-ct-tickets-1867180088909,Eventbrite
Veterans Recognition Dinner,2025-11-15T17:00,Frank C. Godfrey American Legion Post 12,"60 County Street, Norwalk, CT 06851",Let's honor and celebrate our veterans at a special dinner to show our gratitude for their service and sacrifice!,Community & Culture,https://www.eventbrite.com/e/veterans-recognition-dinner-tickets-1567331012249,Eventbrite
Group Reading and Dinner with Anna Raimondi,2025-12-01T18:30,"Greer Southern Table, River Street, Norwalk, CT, USA","7 River Street, Norwalk, CT 06850",Join Anna Raimondi for an unforgettable Group Reading and Sumptious Dinner at Greers Southern Table Restaurant,Religion & Spirituality,https://www.eventbrite.com/e/group-reading-and-dinner-with-anna-raimondi-tickets-1722398563469,Eventbrite
"See Celtic Harpist and Singer Aine Minogue on Sat., December 6th at 3 PM",2025-12-06T15:00,27 Plains Rd,"27 Plains Road, Windham, CT 06280","Áine Minogue (AHHN-yay) is an award-winning Celtic harpist, singer & composer of Celtic, Folk. Spiritual and New Age Music.",Performing & Visual Arts,https://www.eventbrite.com/e/see-celtic-harpist-and-singer-aine-minogue-on-sat-december-6th-at-3-pm-tickets-1734644902599,Eventbrite
"Black Singles Speed Dating Ages 30s-40s, South Norwalk, CT, Jacob's Pickles",2025-11-20T18:00,Jacob's Pickles South Norwalk,"100 North Water Street #SL0300, Norwalk, CT 06854","Meet singles in the Black community, spark real connections, and enjoy good vibes. One night, many possibilities!",Community & Culture,https://www.eventbrite.com/e/black-singles-speed-dating-ages-30s-40s-south-norwalk-ct-jacobs-pickles-tickets-1860518614259,Eventbrite
Project Graduation Auction 2026,2025-11-22T18:00,"Italian Society of Middletown, Court Street, Middletown, CT, USA","72 Court Street, Middletown, CT 06457",Join us for an exciting night of fundraising and prize winning!,School Activities,https://www.eventbrite.com/e/project-graduation-auction-2026-tickets-1648491304869,Eventbrite
﻿River of Dreams - A Billy Joel Tribute,2025-11-22T19:00,Small Batch Cellars,"37 Nettleton Avenue, North Haven, CT 06473",Join us for a night of classic Billy Joel hits!,Music,https://www.eventbrite.com/e/river-of-dreams-a-billy-joel-tribute-tickets-1469564620339,Eventbrite
""" You , Me & RNB"" Thanksgiving Night",2025-11-27T21:00,In The City,"196 Fairfield Avenue, Bridgeport, CT 06604","Get ready to groove all night long with the best RNB hits at our Thanksgiving Night event - You, Me & RNB!",Music,https://www.eventbrite.com/e/you-me-rnb-thanksgiving-night-tickets-1870829865489,Eventbrite
"Breakfast with Santa at Madison Beach Hotel, Sunday, December 7",2025-12-07T09:00,"Madison Beach Hotel, Curio Collection by Hilton","94 West Wharf Road, Madison, CT 06443","Celebrate the Holiday Season with Breakfast with Santa at Madison Beach Hotel, Madison, Connecticut",Seasonal & Holiday,https://www.eventbrite.com/e/breakfast-with-santa-at-madison-beach-hotel-sunday-december-7-tickets-1646217283209,Eventbrite
"Mystic Chamber Music Series: ""A Christmas Carol - A Candle lit Concert""""",2025-12-06T17:30,Union Baptist Church,"119 High Street, Groton, CT 06355","Follow the Ghosts of Chamber Music Past, Present and Future",Performing & Visual Arts,https://www.eventbrite.com/e/mystic-chamber-music-series-a-christmas-carol-a-candle-lit-concert-tickets-1470997506139,Eventbrite
MERRIAM: Hakuna Ma'Hanukkah - Jewish Musical Drag Comedy,2025-11-19T19:30,Sea Tea Comedy Theater,"15 Asylum Street, Hartford, CT 06103","Get into the Chanukah spirit with an unforgettable evening of laughter & celebration with Merriam Levkowitz, America's Favorite Drag Bubbie.",Performing & Visual Arts,https://www.eventbrite.com/e/merriam-hakuna-mahanukkah-jewish-musical-drag-comedy-tickets-1928830998439,Eventbrite
Isaiah J. Thompson Quartet,2025-11-21T20:00,The Side Door ,"85 Lyme St, Old Lyme, CT 06371",Join us for a special night of jazz with Pianist Isaiah J. Thompson and his Quartet!,Music,https://www.eventbrite.com/e/isaiah-j-thompson-quartet-tickets-1777978273879,Eventbrite
Storm Engine Company 174th Annual Firemen's Ball,2025-11-28T18:30,Birchwoods Banquet Facility,"1027 Racebrook Road, Woodbridge, CT 06525","Join us for our 174th annual firemen's ball! Buffet dinner, Dj, and cash bar (beer, soda and wine included.)",Uncategorized,https://www.eventbrite.com/e/storm-engine-company-174th-annual-firemens-ball-tickets-1770294320969,Eventbrite
The Healing Stage,2025-11-14T18:00,Semilla Cafe + Studio,"1283 Main Street, Hartford, CT 06103","An evening where honesty unfolds, where art breathes, and soul heals.",Performing & Visual Arts,https://www.eventbrite.com/e/the-healing-stage-registration-1849675773029,Eventbrite
CCBJ's 7th Annual Women in Business & Law (WIBL),2025-12-04T08:00,DoubleTree by Hilton Stamford,"1 First Stamford Place, Stamford, CT 06902","Join us for our 7th Annual Women in Business & Law event, where we celebrate and empower badass women making waves in their industries!",Business & Professional,https://www.eventbrite.com/e/ccbjs-7th-annual-women-in-business-law-wibl-tickets-1478584178079,Eventbrite
"Earl MacDonald's ""Black Square Ensemble""",2025-11-14T19:30,The River Room,"50 Riverside Drive, Willimantic, CT 06226","Earl MacDonald’s Black Square Ensemble unites opera, jazz & global sounds in poetic works confronting climate, justice & the human condition",Music,https://www.eventbrite.com/e/earl-macdonalds-black-square-ensemble-tickets-1820370670679,Eventbrite
"Dueling Pianos ft Savage Pianos at Madison Beach Hotel, Madison, CT",2025-11-28T20:00,"Madison Beach Hotel, Curio Collection by Hilton","94 West Wharf Road, Madison, CT 06443",Dueling Pianos by Savage Piano Troupe. Join us at Madison Beach Hotel for a engaging and fantastically fun evening!,Music,https://www.eventbrite.com/e/dueling-pianos-ft-savage-pianos-at-madison-beach-hotel-madison-ct-tickets-1591580392799,Eventbrite
Sip and Sign at Haley Mansion,2025-11-20T17:00,Inn at Mystic,"3 Williams Avenue, Stonington, CT 06355","Come join  for an evening meeting and purchasing books from  authors ,  signed  copies, sipping  prosecco and nibbling on local light bites.",Other,https://www.eventbrite.com/e/sip-and-sign-at-haley-mansion-tickets-1781317772409,Eventbrite
Adam Ray: WHO IS ME Tour,2026-01-18T19:00,College Street Music Hall,"238 College Street, New Haven, CT 06510",‎,Performing & Visual Arts,https://www.eventbrite.com/e/adam-ray-who-is-me-tour-tickets-1708762888799,Eventbrite
Girls are drugs,2025-11-23T09:00,2280 Main St,"2280 Main Street, Hartford, CT 06120",Come join us for a night of empowerment and fun celebrating the intoxicating power of being a girl at Girls are Drugs event!,Food & Drink,https://www.eventbrite.com/e/girls-are-drugs-tickets-1732261724449,Eventbrite
French & Creole Lunch by International Foods and Advanced Food Preparation,2025-12-02T12:00,Culinary Arts Center Dining Room L294,"Great Path, Manchester, CT 06040",Get ready to taste a fusion of flavors and spices in a cozy setting where French and Creole cuisine meet for a delicious lunch experience.,Food & Drink,https://www.eventbrite.com/e/french-creole-lunch-by-international-foods-and-advanced-food-preparation-tickets-1556796854299,Eventbrite
